Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-10-21,2727.39990234375,2728.0,2603.199951171875,2622.5,9612230,0.0,0.0
2021-10-22,2620.0,2664.89990234375,2611.5,2627.39990234375,5086641,0.0,0.0
2021-10-25,2680.0,2680.0,2570.0,2601.800048828125,7934786,0.0,0.0
2021-10-26,2617.10009765625,2668.89990234375,2603.14990234375,2661.050048828125,4498720,0.0,0.0
2021-10-27,2652.0,2676.800048828125,2619.949951171875,2627.39990234375,4565815,0.0,0.0
2021-10-28,2620.0,2637.949951171875,2590.5,2598.60009765625,4562471,0.0,0.0
2021-10-29,2596.14990234375,2596.14990234375,2501.699951171875,2536.25,6568539,0.0,0.0
2021-11-01,2536.25,2556.0,2494.10009765625,2537.800048828125,7144150,0.0,0.0
2021-11-02,2545.0,2548.0,2495.25,2500.800048828125,4874582,0.0,0.0
2021-11-03,2506.050048828125,2520.0,2461.0,2483.60009765625,5530635,0.0,0.0
2021-11-04,2492.949951171875,2504.89990234375,2490.0,2498.85009765625,787160,0.0,0.0
2021-11-08,2519.39990234375,2520.0,2456.39990234375,2501.949951171875,9384733,0.0,0.0
2021-11-09,2505.0,2528.89990234375,2487.050048828125,2521.699951171875,7236552,0.0,0.0
2021-11-10,2516.699951171875,2558.0,2503.64990234375,2549.89990234375,4731328,0.0,0.0
2021-11-11,2540.050048828125,2570.5,2535.550048828125,2554.550048828125,4946305,0.0,0.0
2021-12-03,2498.39990234375,2498.5,2400.0,2408.25,8871172,0.0,0.0
2021-12-06,2416.0,2425.0,2357.14990234375,2362.60009765625,4766974,0.0,0.0
2021-12-07,2376.14990234375,2404.0,2360.0,2381.85009765625,5183409,0.0,0.0
2021-12-08,2424.10009765625,2431.800048828125,2406.300048828125,2418.10009765625,4034341,0.0,0.0
2021-12-09,2435.0,2474.89990234375,2425.0,2456.449951171875,6097126,0.0,0.0
2021-12-10,2440.25,2466.0,2430.35009765625,2458.949951171875,3860176,0.0,0.0
2021-12-13,2473.5,2474.10009765625,2404.0,2411.449951171875,5952396,0.0,0.0
2021-12-14,2380.0,2406.0,2373.39990234375,2380.14990234375,5993389,0.0,0.0
2021-12-15,2384.0,2405.0,2361.10009765625,2373.199951171875,4321697,0.0,0.0
2021-12-16,2405.699951171875,2415.5,2368.64990234375,2403.89990234375,4504519,0.0,0.0
2021-12-17,2398.050048828125,2408.0,2320.0,2340.449951171875,9714489,0.0,0.0
2021-12-23,2374.0,2380.0,2358.050048828125,2365.25,4185594,0.0,0.0
2021-12-24,2370.0,2392.0,2337.550048828125,2372.800048828125,3639616,0.0,0.0
2021-12-27,2361.550048828125,2378.0,2348.10009765625,2370.25,1852732,0.0,0.0
2021-12-28,2375.60009765625,2404.85009765625,2373.050048828125,2398.39990234375,2933055,0.0,0.0
2021-12-29,2391.0,2419.0,2382.10009765625,2402.5,7117041,0.0,0.0
2021-12-30,2400.0,2404.949951171875,2345.60009765625,2359.10009765625,13536180,0.0,0.0
2021-12-31,2373.0,2383.89990234375,2360.0,2368.14990234375,4373768,0.0,0.0
2022-01-19,2530.0,2542.0,2509.0,2521.60009765625,4500486,0.0,0.0
2022-01-20,2500.050048828125,2509.949951171875,2455.0,2477.449951171875,7611477,0.0,0.0
2022-01-21,2452.0,2502.25,2452.0,2477.85009765625,6155759,0.0,0.0
2022-01-24,2475.0,2504.75,2355.10009765625,2377.89990234375,10090314,0.0,0.0
